player_id,n_bbe,avg_bat_speed,avg_attack_angle,avg_squared_up_pct,avg_swing_length,avg_exit_velocity,barrel_pct,hard_hit_pct,sweet_spot_pct,avg_xwoba_est
100030,196,70.807,1.19,26.561,7.227,89.983,1.02,29.08,27.55,0.306
100031,281,71.359,9.981,25.293,7.615,88.047,3.56,23.49,45.91,0.344
100032,287,70.938,0.513,22.1,6.184,86.254,3.14,20.56,26.83,0.263
100033,202,69.688,11.175,29.564,7.308,88.651,6.93,29.21,54.46,0.379
100034,79,67.108,11.651,31.586,8.455,88.052,5.06,20.25,50.63,0.319
100035,150,70.351,15.841,30.079,7.426,90.805,12.0,36.0,60.67,0.401
100036,80,67.845,17.646,32.369,7.434,88.802,5.0,23.75,53.75,0.342
100037,279,66.494,12.258,32.756,7.642,88.27,4.66,24.37,50.54,0.349
100038,128,72.112,8.309,24.885,7.816,87.807,7.03,25.78,49.22,0.322
100039,157,72.067,14.302,29.028,6.222,90.604,6.37,35.67,63.06,0.419
100040,284,64.688,9.392,23.876,6.394,83.222,2.82,15.49,47.18,0.262
100041,102,70.296,11.71,27.273,7.441,88.348,5.88,21.57,46.08,0.334
100042,104,73.977,16.89,24.172,6.979,88.771,7.69,24.04,57.69,0.377
100043,96,73.653,9.356,33.556,8.071,92.954,8.33,40.62,39.58,0.366
100044,181,74.039,15.317,27.918,7.17,91.083,12.15,33.7,56.35,0.379
100045,228,70.318,15.0,24.263,6.351,87.161,7.46,23.68,57.89,0.328
100046,105,67.678,7.232,32.358,6.686,88.475,3.81,24.76,40.95,0.329
100047,299,66.768,15.967,16.548,5.86,80.653,1.67,8.03,57.86,0.251
100048,260,72.058,15.274,17.823,7.216,85.558,3.85,15.38,59.23,0.324
100049,61,70.97,11.13,30.713,7.331,89.862,4.92,31.15,34.43,0.317
100050,194,74.653,8.183,25.519,7.112,90.361,8.76,31.96,51.03,0.383
100051,136,74.35,7.553,27.686,7.903,91.967,5.15,40.44,44.12,0.399
100052,110,69.503,9.367,21.389,7.97,84.088,1.82,15.45,47.27,0.286
100053,104,66.412,14.558,26.421,7.185,85.284,6.73,17.31,57.69,0.304
100054,77,69.227,7.047,35.84,6.205,92.296,7.79,42.86,32.47,0.368
100055,292,71.169,13.75,29.875,7.697,90.665,10.62,33.56,58.56,0.406
100056,190,70.293,6.376,27.131,7.614,88.479,6.32,26.32,40.0,0.338
100057,246,68.608,10.155,25.867,7.539,86.167,4.07,20.33,47.15,0.311
100058,294,71.233,11.456,24.756,7.866,87.767,5.1,22.11,53.4,0.346
100059,158,68.77,23.36,16.633,6.723,82.031,5.06,10.76,62.66,0.27
100060,88,68.017,2.858,29.455,8.479,88.341,2.27,30.68,37.5,0.314
100061,133,71.18,19.177,30.853,6.83,90.546,10.53,33.08,62.41,0.404
100062,141,69.34,12.243,20.872,7.758,84.823,5.67,18.44,47.52,0.302
100063,238,71.057,13.663,24.447,6.399,87.032,5.88,20.59,53.78,0.333
100064,302,71.529,11.919,21.719,6.849,86.107,4.64,20.2,49.67,0.318
100065,188,66.301,12.992,21.662,8.205,82.526,2.13,12.23,59.57,0.287
100066,176,68.882,10.895,26.694,7.218,87.264,4.55,22.16,49.43,0.349
100067,196,75.223,17.793,16.677,7.797,85.601,4.08,19.39,66.33,0.334
100068,82,66.616,10.198,31.638,7.445,89.595,9.76,31.71,39.02,0.345
100069,210,63.348,16.786,29.391,7.261,84.602,5.71,15.24,60.48,0.308
100070,313,64.205,7.785,25.4,8.092,83.341,3.83,12.14,45.69,0.277
100071,115,71.095,10.463,16.204,7.183,82.872,1.74,13.91,57.39,0.288
100072,68,70.203,6.787,23.666,6.319,87.832,4.41,26.47,45.59,0.317
100073,133,69.683,13.423,31.52,6.884,89.978,12.78,32.33,57.14,0.414
100074,173,74.549,18.902,13.882,7.63,84.957,3.47,15.03,59.54,0.316
100075,315,61.082,11.05,25.319,7.561,81.31,2.86,12.06,48.89,0.248
100076,73,71.366,9.14,20.174,6.472,85.534,4.11,21.92,50.68,0.337
100077,150,75.675,6.012,29.773,6.935,93.567,11.33,46.67,39.33,0.404
100078,233,66.782,10.076,23.871,7.023,84.02,2.15,12.02,48.07,0.293
100079,101,69.167,4.097,29.009,7.123,88.902,8.91,29.7,47.52,0.32
100080,102,67.837,7.206,29.872,6.583,86.693,7.84,23.53,48.04,0.325
100081,257,67.508,12.955,34.535,6.988,90.312,10.51,33.07,51.75,0.374
100082,192,69.638,18.421,25.838,6.942,87.057,7.29,20.31,60.42,0.34
100083,265,75.486,24.895,27.615,7.787,92.29,18.87,37.36,53.58,0.363
100084,111,77.251,9.059,19.29,7.836,89.006,3.6,24.32,52.25,0.371
100085,279,69.411,17.918,32.162,7.285,90.57,12.54,31.54,55.56,0.38
100086,156,77.107,12.847,24.126,7.148,93.069,9.62,42.31,51.28,0.415
100087,309,70.6,10.692,24.383,7.421,86.934,3.56,21.68,42.39,0.32
100088,60,75.858,14.395,27.438,6.894,93.965,11.67,51.67,51.67,0.413
100089,312,70.522,12.15,19.148,6.712,84.014,3.85,14.1,55.13,0.289
100090,143,70.759,12.424,29.076,6.813,89.821,7.69,27.97,58.04,0.401
100091,281,71.788,9.565,30.147,7.043,91.068,8.19,35.94,50.18,0.384
100092,232,80.607,4.706,27.284,6.731,95.799,11.21,53.45,34.91,0.407
100093,104,74.062,4.592,19.606,7.463,86.899,0.96,19.23,33.65,0.281
100094,228,68.206,14.39,25.709,7.78,86.34,4.39,19.74,53.95,0.324
100095,153,73.835,9.426,30.371,6.436,93.824,12.42,43.14,41.18,0.405
100096,143,69.311,8.489,19.236,7.386,82.568,2.8,10.49,47.55,0.267
100097,121,68.806,11.767,22.919,7.228,85.217,2.48,18.18,55.37,0.316
100098,82,73.339,16.694,28.911,7.561,92.222,13.41,39.02,59.76,0.406
100099,245,70.632,11.789,27.581,7.301,89.467,8.16,31.02,47.76,0.359
100100,105,71.038,8.713,30.152,6.56,90.585,9.52,29.52,55.24,0.4
100101,118,70.592,17.457,35.518,6.624,93.234,20.34,47.46,56.78,0.428
100102,200,71.441,19.38,28.746,7.389,90.105,14.0,28.5,54.5,0.355
100103,235,72.146,14.103,29.025,7.859,91.237,10.21,35.32,53.62,0.392
100104,74,64.438,16.689,38.701,6.099,91.262,12.16,33.78,68.92,0.434
100105,102,73.09,17.702,26.268,7.524,89.213,9.8,38.24,56.86,0.381
100106,96,67.795,16.992,24.097,7.997,86.466,5.21,19.79,60.42,0.32
100107,89,65.403,14.181,30.824,7.269,87.43,10.11,24.72,57.3,0.355
100108,228,70.209,14.767,28.199,7.656,88.475,7.46,24.56,52.63,0.356
100109,241,70.777,13.569,24.483,6.954,88.374,6.64,27.39,53.94,0.357
100110,311,68.064,6.2,21.977,7.259,84.068,2.25,16.4,45.98,0.277
100111,230,73.31,15.49,37.976,6.446,97.211,20.87,58.26,58.7,0.472
100112,99,66.403,5.159,26.299,6.045,83.561,1.01,17.17,31.31,0.269
100113,153,68.686,7.801,23.962,7.878,85.567,4.58,14.38,42.48,0.291
100114,232,68.182,18.181,29.96,6.815,88.697,7.33,28.45,54.31,0.352
100115,255,70.384,15.181,26.865,7.082,88.596,7.06,29.02,60.78,0.38
100116,201,71.582,18.808,26.477,6.615,89.64,10.95,26.87,63.18,0.387
100117,259,67.077,10.61,29.617,6.56,87.073,5.02,20.85,49.03,0.339
100118,86,72.873,5.758,20.249,7.329,85.67,1.16,15.12,37.21,0.283
100119,274,70.885,10.304,27.627,6.952,89.643,8.03,29.2,50.0,0.367
100120,79,64.359,11.875,33.799,7.572,88.197,1.27,22.78,49.37,0.359
100121,120,63.724,13.321,29.452,7.64,84.864,1.67,15.0,46.67,0.296
100122,306,70.225,17.373,24.198,7.537,87.033,6.86,21.24,56.21,0.339
100123,174,70.156,10.023,23.82,7.442,87.499,4.02,22.99,54.6,0.346
100124,124,70.003,12.867,24.729,8.242,86.51,8.06,22.58,56.45,0.324
100125,88,70.803,5.327,25.925,6.809,88.257,9.09,28.41,44.32,0.328
100126,72,70.847,14.504,24.472,7.314,87.212,6.94,18.06,52.78,0.334
100127,208,73.59,11.321,31.828,7.979,93.957,11.54,45.19,50.0,0.417
100128,265,67.318,7.724,18.539,8.078,80.373,0.75,8.3,50.94,0.241
100129,171,66.166,10.527,29.912,6.565,86.462,3.51,19.88,54.97,0.335
100130,153,66.624,10.103,24.458,7.21,85.724,5.88,15.03,49.67,0.311
100131,190,71.628,10.23,28.857,8.051,91.611,7.89,37.89,47.37,0.383
100132,115,75.688,19.939,20.407,7.629,88.887,6.09,26.09,53.91,0.345
100133,173,69.301,10.283,32.096,7.518,90.88,9.25,37.57,52.02,0.393
100134,252,61.858,10.651,32.625,7.218,84.79,4.76,16.67,48.41,0.293
100135,158,64.737,1.703,31.54,7.15,86.296,1.9,20.25,32.28,0.278
100136,80,66.924,8.401,21.745,7.52,84.18,0.0,11.25,47.5,0.285
100137,181,68.556,10.244,30.752,7.246,89.66,8.84,30.94,51.38,0.371
100138,92,68.468,8.179,28.448,7.338,87.848,7.61,21.74,51.09,0.352
100139,218,70.545,18.427,20.092,7.37,85.356,4.13,16.97,57.8,0.316
100140,197,69.946,10.931,26.904,6.957,88.602,7.61,26.9,53.81,0.361
100141,133,74.449,17.523,27.76,7.595,91.029,14.29,32.33,63.16,0.412
100142,119,68.018,11.597,29.245,8.984,87.975,6.72,26.05,50.42,0.36
100143,180,67.338,11.827,26.867,6.342,86.935,5.56,22.22,55.56,0.341
100144,159,71.994,10.932,27.579,7.554,89.992,6.92,28.3,56.6,0.376
100145,88,65.097,11.285,32.54,6.953,88.888,5.68,28.41,44.32,0.351
100146,79,71.282,20.405,33.835,7.665,94.099,27.85,46.84,56.96,0.398
100147,301,70.887,0.307,13.612,7.373,82.025,1.33,10.63,28.24,0.23
100148,294,70.041,1.832,25.171,7.767,86.364,2.38,18.71,34.69,0.281
100149,118,75.816,9.071,25.419,7.976,91.472,9.32,33.05,45.76,0.373
100150,104,68.954,10.828,20.248,7.48,83.673,3.85,9.62,44.23,0.276
100151,261,77.552,15.167,26.489,7.951,92.899,16.48,41.76,54.41,0.414
100152,251,69.607,14.25,31.267,6.073,90.04,9.96,31.87,58.17,0.389
100153,200,66.495,9.636,21.709,8.228,82.993,1.5,10.5,53.5,0.299
100154,133,71.115,16.472,27.246,7.502,89.168,7.52,24.81,60.9,0.378
100155,88,67.177,15.903,22.155,7.931,83.492,1.14,12.5,55.68,0.294
100156,108,67.863,12.411,23.719,6.662,84.598,5.56,13.89,59.26,0.308
100157,92,71.416,16.717,32.59,6.91,91.667,15.22,35.87,58.7,0.427
100158,216,72.073,13.368,24.266,7.441,89.059,7.87,26.85,56.02,0.375
100159,171,68.189,9.319,30.363,7.318,87.59,4.09,21.64,49.12,0.337
100160,213,73.931,14.655,18.581,7.507,87.208,4.69,23.0,53.52,0.34
100161,222,74.689,12.736,36.081,7.938,95.579,15.32,56.31,49.55,0.462
100162,124,75.776,10.966,28.025,6.399,91.958,14.52,35.48,47.58,0.367
100163,235,72.144,18.609,25.265,7.891,89.057,8.09,29.79,63.83,0.372
100164,245,74.644,0.409,28.835,7.368,91.878,4.49,41.22,26.12,0.339
100165,66,64.109,5.086,21.679,7.227,80.644,1.52,12.12,43.94,0.22
100166,165,69.742,6.667,32.222,6.576,91.878,6.67,36.97,46.67,0.392
100167,235,67.463,9.686,25.432,7.648,85.299,2.13,17.45,54.47,0.336
100168,124,70.799,10.753,24.642,6.027,87.911,5.65,21.77,52.42,0.354
100169,150,68.446,4.773,23.889,7.704,85.178,2.0,16.67,36.0,0.274
100170,291,70.07,6.701,23.492,6.479,86.435,0.69,19.24,38.49,0.296
100171,188,76.711,7.013,30.925,7.393,97.082,16.49,61.17,40.43,0.438
100172,103,70.174,24.294,27.64,7.255,88.954,10.68,33.98,49.51,0.315
100173,178,71.443,19.494,30.539,7.999,91.307,18.54,37.64,56.74,0.378
100174,233,69.591,9.862,26.769,7.192,87.324,4.72,23.61,48.07,0.336
100175,144,70.773,10.843,28.42,6.959,88.74,7.64,31.25,47.22,0.341
100176,303,70.876,6.141,24.627,7.057,87.609,2.97,25.08,39.27,0.309
100177,249,71.78,2.973,35.625,8.021,93.919,8.84,45.38,30.92,0.372
100178,133,74.683,10.998,19.173,7.675,87.853,4.51,21.8,45.86,0.339
100179,158,76.233,7.391,33.388,7.126,95.946,13.29,54.43,42.41,0.435
100180,158,71.833,11.209,33.409,7.248,93.358,14.56,45.57,51.9,0.447
100181,136,72.496,4.229,22.487,6.458,87.732,3.68,25.0,29.41,0.295
100182,218,66.779,7.933,35.912,7.529,91.705,5.05,40.37,48.17,0.395
100183,80,69.366,12.426,31.274,6.45,89.748,6.25,28.75,60.0,0.384
100184,305,73.71,12.479,29.869,7.769,92.638,11.48,40.66,57.05,0.431
100185,284,73.949,13.321,27.079,7.403,91.608,12.32,35.21,54.93,0.424
100186,199,71.151,5.862,26.335,8.684,88.276,4.02,21.11,35.18,0.306
100187,162,73.628,15.787,26.154,6.751,90.967,10.49,33.95,61.11,0.404
100188,187,71.541,7.379,28.805,7.275,90.847,4.81,35.29,46.52,0.399
100189,234,74.572,14.185,33.056,8.355,95.52,20.09,51.71,60.68,0.47
100190,129,71.697,11.716,27.609,7.972,90.041,10.08,31.01,51.16,0.389
100191,211,69.042,4.272,22.712,7.021,86.347,3.79,23.22,36.97,0.287
100192,125,71.972,9.494,28.996,7.5,91.138,12.0,33.6,51.2,0.393
100193,104,60.282,12.924,30.976,7.379,83.455,0.0,10.58,55.77,0.293
100194,189,71.94,14.316,30.287,7.492,92.826,14.29,41.27,57.67,0.426
100195,94,58.34,9.924,29.172,6.901,79.832,2.13,4.26,56.38,0.244
100196,144,64.628,18.312,25.523,7.287,82.941,4.86,10.42,56.94,0.278
100197,282,72.227,16.207,23.096,6.475,88.691,8.51,28.01,56.38,0.363
100198,257,72.198,10.542,22.727,7.426,87.605,6.61,22.96,49.03,0.344
100199,208,66.146,15.349,19.818,7.614,81.746,1.44,10.58,56.25,0.264
100200,240,67.773,20.549,28.197,7.209,86.458,6.67,17.08,58.33,0.333
100201,76,74.321,21.655,25.138,6.408,89.195,9.21,27.63,73.68,0.405
100202,285,68.867,4.907,23.922,7.896,86.271,3.51,21.05,38.25,0.294
100203,129,77.641,6.97,14.686,7.572,86.284,1.55,17.05,48.06,0.309
100204,236,70.462,18.978,21.197,6.937,85.349,7.63,20.34,62.71,0.313
100205,102,72.345,6.359,31.425,7.167,92.981,10.78,40.2,46.08,0.394
100206,131,75.534,4.944,23.787,6.539,91.493,5.34,36.64,38.17,0.352
100207,155,71.092,9.439,27.623,6.786,89.55,7.1,28.39,38.06,0.342
100208,82,67.161,13.45,19.341,7.132,82.855,4.88,13.41,48.78,0.264
100209,97,69.874,10.532,33.789,8.006,91.303,10.31,38.14,55.67,0.428
100210,269,70.174,8.109,26.333,6.983,88.954,5.2,28.25,43.87,0.343
100211,213,65.627,8.162,27.928,7.692,86.404,3.29,16.9,45.54,0.308
100212,119,69.361,8.189,38.746,7.011,93.679,15.13,47.9,51.26,0.443
100213,106,68.18,6.632,33.177,7.52,89.985,3.77,32.08,39.62,0.348
100214,189,73.769,22.697,25.289,7.289,90.301,14.81,30.69,59.26,0.361
100215,125,70.638,12.657,24.151,7.864,86.884,5.6,23.2,52.0,0.319
100216,117,70.05,15.932,26.006,7.068,87.709,3.42,23.93,37.61,0.328
100217,297,70.248,9.633,29.039,6.517,89.815,5.72,31.99,47.81,0.361
100218,244,70.942,10.555,25.602,6.627,88.422,5.74,28.28,52.87,0.377
100219,224,72.285,7.752,25.879,7.038,89.993,6.7,29.02,47.32,0.367
100220,189,67.302,-1.735,32.687,6.646,88.956,1.06,29.1,23.28,0.261
100221,95,66.903,4.907,25.362,7.542,84.733,2.11,20.0,43.16,0.285
100222,309,74.496,3.312,37.13,7.101,97.036,11.65,56.63,37.22,0.427
100223,230,68.954,0.292,27.462,8.608,87.248,0.87,18.7,27.83,0.257
100224,133,66.151,6.319,33.004,6.372,88.789,4.51,25.56,37.59,0.331
100225,213,72.175,17.958,28.077,7.448,90.538,12.21,31.92,64.32,0.397
100226,267,71.818,11.011,30.789,6.751,91.239,8.24,36.33,52.06,0.399
100227,248,65.244,17.044,24.645,7.088,82.627,2.42,11.29,58.47,0.276
100228,232,70.779,13.895,21.972,7.444,86.618,3.88,21.98,56.47,0.335
100229,62,73.053,15.366,27.005,6.092,90.034,12.9,27.42,56.45,0.364
100230,226,71.758,7.53,31.847,7.491,92.323,7.08,37.17,44.25,0.38
100231,300,72.428,13.56,26.017,8.397,89.63,10.0,31.67,52.0,0.379
100232,280,65.594,14.87,20.889,7.115,81.741,1.43,9.29,58.21,0.265
100233,292,71.338,8.39,21.223,7.491,85.966,2.74,16.78,48.97,0.313
100234,205,69.399,13.987,20.814,7.913,85.065,3.9,20.49,57.07,0.301
100235,220,69.022,14.247,19.685,7.245,83.471,3.64,14.09,49.09,0.276
100236,163,73.65,9.327,26.915,6.989,90.418,5.52,28.22,49.08,0.363
100237,145,75.365,6.588,31.796,6.124,95.223,13.1,55.17,44.83,0.426
100238,202,76.166,5.831,26.666,7.678,93.25,8.91,35.15,45.54,0.403
100239,248,74.795,12.167,16.943,7.309,86.735,4.84,20.56,53.63,0.336
