player_id,player_name,team,position,bats
100128,Brice Marsh,Orioles,DH,L
100129,Gunnar Caminero,Mets,DH,L
100130,Jordan Reyes,Astros,RF,R
100131,Riley Nunez,Rays,LF,L
100132,Bobby Caminero,Dodgers,DH,R
100133,Devin Holt,Guardians,1B,L
100134,Trevor Rivas,Rays,DH,L
100135,Michael Turang,Rays,C,R
100136,Trevor Meyer,Padres,RF,R
100137,Xavier Volpe,Nationals,C,L
100138,Carlos Diaz,Brewers,CF,L
100139,Trevor Volpe,Guardians,C,R
100140,Junior Caminero,Dodgers,SS,L
100141,Gunnar Greene,Brewers,RF,R
100142,Trevor Arenado,Rays,1B,R
100143,Junior Arenado,Orioles,DH,L
100144,Adley Abreu,Rays,LF,R
100145,Devin Perez,Guardians,CF,R
100146,Ronny Caminero,Astros,1B,S
100147,Gunnar Tovar,Nationals,LF,R
100148,Corbin Wood,Nationals,DH,R
100149,Corbin Witt,Orioles,CF,L
100150,James Wood,Guardians,SS,R
100151,Michael Rodriguez,Brewers,1B,R
100152,Luis Reyes,Brewers,2B,R
100153,Elly Greene,Padres,3B,R
100154,Anthony Holt,Padres,LF,R
100155,Kaleb Carroll,Guardians,SS,R
100156,Ronny Witt,Braves,CF,L
100157,Bobby Greene,Braves,2B,L
100158,Marco Carroll,Orioles,LF,R
100159,Carlos Henderson,Yankees,CF,L
100160,Anthony Henderson,Astros,SS,L
100161,Devin Marsh,Orioles,RF,R
100162,Wilyer Abreu,Cubs,RF,R
100163,Wilyer Reyes,Orioles,3B,R
100164,Nolan Marsh,Rays,CF,R
100165,Jordan Volpe,Mets,3B,R
100166,Devin Meyer,Dodgers,1B,R
100167,Adley Nunez,Brewers,DH,L
100168,Ezequiel Alvarez,Red Sox,CF,R
100169,Luis Greene,Phillies,C,R
100170,Ezequiel Henderson,Guardians,1B,R
100171,Corbin Volpe,Cubs,DH,R
100172,Marco Volpe,Yankees,DH,R
100173,Adley Carroll,Yankees,3B,R
100174,Anthony Tovar,Rays,3B,R
100175,Kaleb Rivas,Nationals,DH,R
100176,Riley Holt,Red Sox,2B,R
100177,Carlos Meyer,Astros,SS,R
100178,Xavier Holt,Yankees,RF,L
100179,Elly Alvarez,Yankees,CF,R
100180,Nolan Henderson,Cubs,3B,L
100181,Kaleb Rodriguez,Orioles,CF,L
100182,Corbin Perez,Phillies,LF,L
100183,Gunnar Rodriguez,Yankees,SS,R
100184,Brice De La Cruz,Padres,DH,L
100185,Elly Rivas,Rays,3B,R
100186,Bobby Diaz,Dodgers,SS,R
100187,Adley Greene,Dodgers,DH,L
100188,Carlos Tovar,Dodgers,DH,L
100189,Xavier Nunez,Braves,RF,L
100190,Adley Arenado,Yankees,3B,R
100191,Carlos Greene,Mets,DH,S
100192,James Reyes,Yankees,CF,L
100193,Riley Ortiz,Rays,1B,R
100194,Adley Tovar,Padres,SS,S
100195,Devin De La Cruz,Brewers,RF,R
100196,Devin Witt,Orioles,RF,L
100197,Devin Turang,Rays,3B,R
100198,Ezequiel Arenado,Dodgers,CF,L
100199,Nolan Arenado,Mets,RF,R
100200,Michael Holt,Brewers,LF,L
100201,Corbin Turang,Padres,SS,L
100202,Bobby Alvarez,Nationals,2B,L
100203,Ezequiel Volpe,Cubs,2B,L
100204,Corbin De La Cruz,Brewers,2B,L
100205,Anthony Rivas,Dodgers,C,R
100206,Corbin Arenado,Mets,RF,S
100207,Riley Marsh,Astros,3B,R
100208,Marco Nunez,Yankees,CF,L
100209,Wilyer De La Cruz,Guardians,DH,R
100210,Ronny Wood,Brewers,3B,R
100211,Ronny Rivas,Orioles,C,R
100212,Corbin Carroll,Cubs,DH,L
100213,Adley Henderson,Padres,2B,L
100214,Elly Holt,Orioles,2B,L
100215,Kaleb Henderson,Padres,CF,L
100216,Kaleb Marsh,Red Sox,1B,L
100217,Brice Reyes,Rays,LF,L
100218,Bobby Tovar,Braves,3B,R
100219,Luis Nunez,Braves,CF,L
100220,Xavier Tovar,Guardians,1B,R
100221,Kaleb Caminero,Mets,LF,S
100222,James Turang,Padres,DH,R
100223,Wilyer Holt,Braves,C,R
100224,Xavier Henderson,Yankees,2B,R
100225,Anthony Caminero,Braves,3B,R
100226,Michael Alvarez,Guardians,1B,R
100227,Julio De La Cruz,Nationals,3B,R
100228,Xavier Caminero,Mets,RF,R
100229,Junior Henderson,Nationals,SS,R
100230,Elly Carroll,Orioles,RF,L
100231,Bobby Holt,Cubs,SS,L
100232,Ronny Holt,Astros,2B,S
100233,Julio Rodriguez,Cubs,CF,R
100234,Bobby Abreu,Phillies,1B,L
100235,Junior Turang,Padres,1B,R
100236,James Caminero,Dodgers,LF,R
100237,Julio Turang,Nationals,RF,L
100238,Michael Tovar,Padres,RF,R
100239,Devin Diaz,Orioles,SS,L
