bb_id,player_id,bat_speed,attack_angle,squared_up_pct,swing_length,pitch_speed,exit_velocity,launch_angle,is_barrel,is_hard_hit,is_sweet_spot,xwoba_est
35,100000,83.4,17.7,31.1,6.97,96.6,100.9,36.4,1,1,0,0.305
36,100000,82.0,10.4,20.4,7.29,90.8,76.5,17.6,0,0,1,0.23
37,100000,70.4,4.3,24.6,7.18,91.3,92.9,-17.9,0,0,0,0.094
38,100000,79.3,18.1,30.3,7.41,91.2,82.4,15.3,0,0,1,0.292
39,100000,82.0,14.7,36.0,7.52,91.5,104.2,37.9,1,1,0,0.308
40,100000,74.8,3.4,31.0,7.46,97.3,87.4,0.6,0,0,0,0.214
41,100000,77.0,21.6,39.9,7.17,95.7,91.0,-1.8,0,0,0,0.335
42,100000,68.9,14.9,27.1,6.6,99.5,85.2,39.5,0,0,0,0.136
43,100000,77.6,10.9,24.8,7.09,101.4,93.1,19.8,0,0,1,0.629
44,100000,72.5,20.5,53.7,7.39,89.9,98.0,19.6,0,1,1,0.615
45,100000,77.3,11.9,31.7,6.86,93.7,101.4,7.1,0,1,0,0.637
46,100000,70.6,10.8,21.1,7.47,89.4,80.9,24.9,0,0,1,0.214
47,100000,78.6,7.0,21.4,7.56,90.8,99.5,0.0,0,1,0,0.391
48,100000,80.5,14.5,19.0,7.29,91.3,93.8,29.4,0,0,1,0.31
49,100000,73.6,13.8,36.9,6.17,89.8,89.5,20.9,0,0,1,0.532
50,100000,72.2,11.1,24.5,6.8,89.8,80.5,14.2,0,0,1,0.322
51,100000,68.4,6.2,29.2,7.91,93.0,74.1,8.1,0,0,1,0.081
52,100000,75.6,11.8,27.4,7.05,89.2,94.2,9.5,0,0,1,0.614
53,100000,74.4,10.6,34.9,6.55,96.4,93.4,24.1,0,0,1,0.523
54,100000,70.7,3.0,19.9,7.68,90.3,64.2,-8.3,0,0,0,0.005
55,100000,78.3,2.1,17.8,7.25,103.3,87.3,-18.9,0,0,0,0.06
56,100000,74.9,14.4,30.1,7.63,91.9,85.6,22.4,0,0,1,0.416
57,100000,72.5,-4.6,33.7,7.34,93.8,107.2,3.6,0,1,0,0.631
58,100000,74.5,12.2,31.1,7.41,89.0,78.3,18.4,0,0,1,0.353
59,100000,80.6,8.1,20.3,7.37,99.5,81.9,13.4,0,0,1,0.302
60,100000,78.9,18.8,34.4,7.49,97.4,109.2,14.7,1,1,1,0.976
61,100000,76.1,8.0,20.9,8.04,94.5,101.4,18.2,0,1,1,0.885
62,100000,78.9,14.9,23.0,7.58,88.8,85.5,14.3,0,0,1,0.508
63,100000,72.2,8.6,19.0,6.69,94.2,80.5,2.3,0,0,0,0.248
64,100000,76.7,11.7,40.3,7.4,89.6,104.7,7.6,0,1,0,0.854
65,100000,77.1,15.4,34.0,7.64,98.6,78.8,41.7,0,0,0,0.071
66,100000,74.8,8.2,33.7,7.67,96.3,80.3,-14.4,0,0,0,0.111
67,100000,78.2,17.0,39.8,7.1,93.8,99.0,23.4,0,1,1,0.634
68,100000,73.6,5.0,54.7,7.65,85.0,116.9,-16.8,0,1,0,0.158
69,100000,78.5,12.7,11.7,7.57,90.1,82.1,11.3,0,0,1,0.385
70,100000,78.7,16.5,21.0,8.15,95.9,93.0,10.9,0,0,1,0.589
71,100000,65.5,14.9,22.1,6.98,97.7,93.0,-12.2,0,0,0,0.127
72,100000,81.1,22.5,19.9,7.07,97.4,111.7,27.5,1,1,1,0.676
73,100000,65.0,6.4,17.7,7.14,87.9,73.5,1.5,0,0,0,0.132
74,100000,74.2,2.7,25.1,7.07,94.6,90.6,-24.6,0,0,0,0.015
75,100000,80.5,5.0,16.4,6.93,97.1,106.9,15.9,1,1,1,0.923
76,100000,75.4,14.9,31.2,6.28,87.7,80.3,33.6,0,0,0,0.06
77,100000,71.0,14.0,28.5,7.09,93.5,98.6,33.3,1,1,0,0.336
78,100000,72.4,11.6,32.5,7.37,94.5,84.6,16.3,0,0,1,0.35
79,100000,80.5,4.2,32.8,7.07,92.4,99.9,4.8,0,1,0,0.613
80,100000,69.3,15.6,33.7,7.92,87.0,87.8,32.8,0,0,0,0.229
82,100000,76.4,17.9,48.1,7.7,92.4,95.7,32.7,0,1,0,0.294
83,100000,72.0,28.1,30.2,7.34,93.0,93.8,15.9,0,0,1,0.75
84,100000,74.4,13.2,10.3,7.53,91.5,90.7,15.8,0,0,1,0.578
85,100000,72.7,14.5,18.4,7.34,91.9,84.4,20.2,0,0,1,0.295
86,100000,79.9,8.0,11.4,7.72,93.4,88.0,-15.5,0,0,0,0.013
87,100000,79.4,0.1,28.1,7.26,95.0,101.1,6.2,0,1,0,0.67
88,100000,70.0,7.4,26.8,7.42,92.4,79.7,36.9,0,0,0,0.039
89,100000,75.0,4.4,23.5,7.37,92.1,96.2,12.7,0,1,1,0.649
90,100000,73.3,2.3,47.1,7.14,93.8,108.5,21.4,1,1,1,0.786
91,100000,81.5,21.3,33.2,7.39,86.8,120.8,23.7,1,1,1,0.852
92,100000,71.4,12.6,34.9,8.03,95.2,90.8,11.7,0,0,1,0.561
93,100000,82.7,13.3,19.1,7.15,93.5,89.7,18.2,0,0,1,0.597
94,100000,76.4,9.1,18.5,7.39,93.6,95.2,-1.5,0,1,0,0.286
95,100000,72.2,9.9,28.3,7.69,96.9,98.4,-2.6,0,1,0,0.298
96,100000,74.0,16.8,29.6,7.64,86.7,86.6,33.2,0,0,0,0.259
97,100000,73.5,10.8,10.3,7.25,86.6,77.1,28.6,0,0,1,0.133
98,100000,71.7,14.2,26.3,6.41,94.5,94.0,1.3,0,0,0,0.38
100,100000,71.9,8.9,25.9,6.47,94.1,85.8,7.8,0,0,0,0.469
101,100000,68.3,2.5,20.2,7.76,91.9,83.8,6.9,0,0,0,0.396
102,100000,75.1,-0.9,22.8,7.3,95.8,99.0,5.1,0,1,0,0.53
103,100000,69.7,9.4,26.3,7.59,96.8,83.3,22.3,0,0,1,0.388
104,100000,73.7,11.3,28.8,6.93,95.2,76.8,12.4,0,0,1,0.304
105,100000,73.1,3.3,33.7,6.7,92.6,77.7,21.6,0,0,1,0.153
106,100000,73.3,10.8,38.2,7.34,86.1,84.3,14.8,0,0,1,0.51
107,100000,84.0,11.3,25.2,7.23,96.2,87.3,19.4,0,0,1,0.367
108,100000,76.8,-2.0,23.6,7.07,97.8,91.3,-12.8,0,0,0,0.177
109,100000,77.5,5.5,32.1,7.27,95.8,87.1,33.5,0,0,0,0.152
110,100000,69.8,13.4,33.8,8.21,90.4,85.1,19.5,0,0,1,0.35
111,100000,74.1,13.3,23.8,7.54,95.9,83.7,22.6,0,0,1,0.459
112,100000,77.4,4.1,35.5,7.61,96.5,95.3,-16.9,0,1,0,0.0
113,100000,72.7,11.9,37.3,7.54,99.0,108.3,1.2,0,1,0,0.573
114,100000,80.0,17.1,40.2,7.76,90.4,107.8,33.2,1,1,0,0.446
115,100000,72.0,15.6,44.9,7.18,92.7,99.2,19.4,0,1,1,0.636
116,100000,75.5,10.4,19.7,6.53,96.1,85.3,-14.5,0,0,0,0.107
117,100000,74.3,8.2,28.1,7.18,93.7,88.5,21.7,0,0,1,0.423
118,100000,77.2,7.2,28.1,7.53,89.6,96.2,0.1,0,1,0,0.356
119,100000,74.1,13.8,27.0,6.91,95.0,96.7,32.1,0,1,0,0.325
120,100000,75.5,12.1,21.8,7.18,95.5,82.5,11.0,0,0,1,0.36
121,100000,75.7,14.7,13.9,7.0,93.8,86.0,17.4,0,0,1,0.476
122,100000,73.8,11.8,28.9,7.77,94.3,75.0,27.1,0,0,1,0.154
123,100000,78.4,15.9,20.7,7.51,92.6,92.9,4.2,0,0,0,0.509
124,100000,77.5,11.5,28.8,7.47,98.7,102.5,-1.4,0,1,0,0.431
125,100000,76.2,15.7,20.4,7.46,90.3,86.4,13.1,0,0,1,0.364
126,100000,74.9,16.2,17.5,7.23,91.4,102.0,27.0,1,1,1,0.567
127,100000,79.6,6.1,30.2,7.31,93.5,89.7,-11.2,0,0,0,0.16
128,100000,75.7,0.1,29.4,6.83,96.6,96.4,-21.6,0,1,0,0.039
129,100001,71.9,16.5,32.9,7.4,96.4,98.7,19.4,0,1,1,0.7
130,100001,71.8,19.8,15.7,6.84,91.4,83.8,20.5,0,0,1,0.374
131,100001,77.8,17.6,28.3,7.51,92.1,88.2,9.3,0,0,1,0.412
132,100001,77.4,18.6,15.9,6.85,87.0,77.4,40.7,0,0,0,0.093
133,100001,75.4,6.3,11.7,7.84,91.1,79.4,-7.4,0,0,0,0.083
134,100001,69.2,19.9,32.8,6.66,93.5,94.3,25.4,0,0,1,0.519
135,100001,73.2,8.1,6.7,6.88,96.8,83.6,3.9,0,0,0,0.283
136,100001,71.5,14.8,31.7,7.41,90.8,73.5,37.6,0,0,0,0.078
137,100001,77.7,14.7,20.5,7.84,99.3,85.3,3.0,0,0,0,0.435
138,100001,78.8,16.1,20.9,7.37,91.1,101.4,6.5,0,1,0,0.639
139,100001,78.4,15.2,26.8,7.46,91.1,94.6,2.6,0,0,0,0.423
140,100001,71.5,8.1,28.5,7.27,98.9,79.4,12.3,0,0,1,0.354
141,100001,64.0,5.1,15.1,6.9,94.2,97.7,-12.8,0,1,0,0.096
142,100001,67.6,18.4,29.8,7.09,91.6,87.3,12.2,0,0,1,0.403
143,100001,79.8,14.3,24.0,6.84,93.0,97.2,-13.7,0,1,0,0.075
144,100001,72.8,20.1,11.0,6.81,98.2,86.4,23.2,0,0,1,0.386
145,100001,71.5,12.9,21.3,7.4,98.6,84.5,6.4,0,0,0,0.449
146,100001,80.6,4.8,36.1,6.87,90.6,94.2,-14.6,0,0,0,0.136
147,100001,79.2,19.0,38.9,7.37,93.4,119.5,33.1,1,1,0,0.521
148,100001,74.5,11.0,29.7,6.8,93.8,101.7,-6.0,0,1,0,0.241
149,100001,73.2,15.2,11.6,7.36,90.0,88.8,25.6,0,0,1,0.317
150,100001,73.9,9.3,27.6,7.09,93.3,96.4,0.2,0,1,0,0.338
151,100001,75.2,23.1,31.0,7.75,93.5,85.8,43.9,0,0,0,0.083
152,100001,80.4,7.9,29.8,7.37,97.5,109.4,17.7,1,1,1,0.926
153,100001,76.0,11.2,30.4,7.69,97.7,88.4,-1.9,0,0,0,0.269
154,100001,77.1,13.8,26.4,7.0,92.3,95.5,1.9,0,1,0,0.359
155,100001,78.8,6.6,22.2,7.28,92.8,78.3,14.5,0,0,1,0.231
156,100001,69.9,15.2,17.2,6.92,95.8,66.2,11.8,0,0,1,0.0
157,100001,77.2,22.9,4.9,7.12,91.5,84.3,20.7,0,0,1,0.355
159,100001,64.8,15.6,24.7,7.01,93.2,66.2,5.8,0,0,0,0.039
160,100001,66.3,-3.3,28.2,6.84,90.1,90.0,-2.1,0,0,0,0.309
161,100001,70.5,13.0,10.2,6.77,90.2,97.0,25.4,0,1,1,0.465
162,100001,76.4,11.3,29.1,6.44,98.6,107.2,21.8,1,1,1,0.884
163,100001,74.8,8.3,42.5,6.89,93.0,97.8,6.2,0,1,0,0.659
164,100001,75.1,19.7,23.7,7.48,99.2,91.7,15.9,0,0,1,0.63
165,100001,81.8,11.2,22.3,6.7,91.7,101.8,-11.4,0,1,0,0.118
166,100001,69.5,12.1,25.9,6.78,94.5,97.1,-1.6,0,1,0,0.35
167,100001,74.3,10.9,42.2,7.89,101.9,98.6,15.1,0,1,1,0.733
168,100001,75.5,1.7,13.2,7.04,89.8,84.6,-0.1,0,0,0,0.267
169,100001,71.6,6.4,24.9,7.37,86.9,89.4,7.4,0,0,0,0.485
170,100001,74.5,19.0,15.3,7.49,98.0,91.2,32.5,0,0,0,0.299
171,100001,68.3,0.5,17.7,7.49,90.6,80.3,-14.9,0,0,0,0.186
172,100001,79.7,8.6,22.5,6.73,93.4,92.2,5.5,0,0,0,0.5
173,100001,71.8,10.8,35.7,7.18,91.4,105.5,13.2,0,1,1,0.906
174,100001,82.1,23.7,40.0,6.69,94.4,114.8,14.5,1,1,1,1.012
175,100001,74.2,17.8,27.2,8.12,90.2,94.9,36.4,0,0,0,0.193
176,100001,78.3,9.9,19.4,6.7,92.9,104.9,21.7,1,1,1,0.803
177,100001,74.2,21.0,46.6,6.89,95.1,98.9,24.8,1,1,1,0.558
178,100001,74.2,8.7,18.9,6.9,90.0,100.2,32.1,1,1,0,0.371
179,100001,72.1,19.2,17.5,6.74,91.0,88.9,-0.2,0,0,0,0.299
180,100001,74.8,5.0,6.1,7.73,92.3,108.4,4.9,0,1,0,0.748
181,100001,75.6,19.6,36.2,8.11,88.5,86.1,24.4,0,0,1,0.416
182,100001,71.4,10.8,32.1,7.09,92.0,85.9,-1.1,0,0,0,0.246
183,100001,73.9,7.0,45.9,6.8,93.9,104.9,10.9,0,1,1,0.795
184,100001,72.0,11.9,9.7,6.48,92.1,83.8,-2.5,0,0,0,0.211
185,100001,83.1,14.9,36.8,7.18,92.6,119.7,23.8,1,1,1,0.792
186,100001,74.0,10.2,23.6,7.15,93.4,83.8,24.0,0,0,1,0.392
187,100001,80.2,16.5,30.6,7.03,91.2,105.1,20.1,1,1,1,0.83
188,100001,73.6,9.7,7.3,7.34,95.9,91.0,-14.4,0,0,0,0.182
189,100001,75.3,16.9,36.9,7.4,98.5,104.7,4.3,0,1,0,0.647
190,100001,69.3,15.8,30.4,7.37,91.9,81.1,23.2,0,0,1,0.314
191,100001,72.7,12.8,22.6,7.15,95.2,100.3,13.1,0,1,1,0.762
193,100001,80.4,14.1,15.7,7.49,94.8,95.5,30.3,0,1,1,0.32
194,100001,75.2,16.5,17.4,7.26,99.0,90.1,18.3,0,0,1,0.461
195,100001,79.6,25.6,18.5,7.57,95.3,93.4,14.9,0,0,1,0.598
196,100001,76.8,18.8,5.3,7.54,87.3,79.8,31.8,0,0,1,0.191
197,100001,80.5,19.0,31.1,6.76,95.1,104.2,10.2,0,1,1,0.806
198,100001,74.1,31.7,34.3,6.76,97.8,96.5,22.8,0,1,1,0.575
199,100001,83.4,16.3,16.3,7.0,92.7,85.3,20.9,0,0,1,0.377
200,100001,72.5,16.1,26.2,6.89,97.0,81.7,39.3,0,0,0,0.055
201,100001,71.5,17.4,20.4,7.52,91.1,79.0,38.5,0,0,0,0.052
202,100001,69.8,7.1,26.1,7.38,88.3,88.3,11.8,0,0,1,0.434
203,100001,83.2,10.5,17.0,7.65,94.0,92.8,16.5,0,0,1,0.588
204,100001,77.5,10.2,14.5,7.4,87.4,87.7,20.4,0,0,1,0.483
205,100001,73.1,17.1,32.9,7.33,92.7,97.8,0.7,0,1,0,0.391
206,100001,79.1,12.1,22.3,7.68,98.0,88.4,20.5,0,0,1,0.5
207,100001,77.0,14.0,42.1,7.42,86.8,112.5,4.5,1,1,0,0.707
208,100001,81.8,19.7,23.4,7.28,89.0,92.0,23.9,0,0,1,0.492
209,100001,68.5,18.4,14.1,7.78,89.9,75.8,15.4,0,0,1,0.228
210,100001,73.4,12.2,34.6,7.3,93.3,98.9,18.7,0,1,1,0.725
211,100001,72.6,9.2,28.9,7.15,92.2,75.4,10.7,0,0,1,0.252
212,100001,66.9,20.0,29.8,6.97,98.4,81.9,-19.9,0,0,0,0.032
213,100001,78.4,17.8,34.2,7.51,96.8,107.6,20.2,1,1,1,0.882
214,100001,73.3,3.6,16.7,7.69,95.2,71.0,11.9,0,0,1,0.119
215,100001,77.2,11.3,21.7,7.24,94.0,100.5,17.1,0,1,1,0.765
216,100001,83.3,14.2,21.3,7.72,94.9,108.5,12.9,1,1,1,0.935
217,100001,73.0,17.9,10.7,6.57,90.5,78.1,39.2,0,0,0,0.066
218,100001,72.8,18.7,20.4,7.24,96.5,90.1,22.7,0,0,1,0.446
219,100001,74.8,14.9,35.6,7.25,89.6,105.1,20.6,1,1,1,0.777
220,100001,78.1,16.7,25.2,7.01,96.4,90.1,30.3,0,0,1,0.209
221,100001,72.2,13.6,10.1,8.09,97.7,89.4,18.3,0,0,1,0.576
222,100001,72.0,9.1,8.2,7.24,94.2,74.3,-2.5,0,0,0,0.048
223,100001,78.4,11.6,38.7,7.12,92.9,96.6,-20.1,0,1,0,0.052
224,100001,75.8,13.3,22.1,7.27,94.9,83.6,7.1,0,0,0,0.351
225,100001,66.6,13.0,16.8,6.56,83.5,81.0,22.9,0,0,1,0.234
226,100001,69.7,1.9,20.3,6.99,94.6,94.6,-2.7,0,0,0,0.272
227,100001,80.1,10.8,8.9,7.6,93.1,84.6,21.2,0,0,1,0.435
228,100001,75.9,13.5,36.5,7.04,93.3,86.9,15.5,0,0,1,0.453
229,100001,71.5,11.5,19.2,6.97,96.0,76.6,28.2,0,0,1,0.188
230,100001,73.7,11.7,35.9,7.72,93.2,99.1,7.9,0,1,0,0.65
231,100001,74.4,16.1,23.4,7.73,89.5,104.5,22.2,1,1,1,0.767
232,100001,77.2,6.7,36.5,7.44,93.0,102.0,13.3,0,1,1,0.866
233,100001,69.2,3.4,25.4,7.1,93.7,83.6,22.9,0,0,1,0.304
234,100001,71.2,11.1,31.0,7.18,93.9,97.9,-11.1,0,1,0,0.169
235,100001,75.4,17.8,29.8,6.98,94.1,91.9,11.8,0,0,1,0.518
236,100001,74.0,23.3,28.9,6.91,97.1,89.9,34.3,0,0,0,0.299
237,100001,76.5,17.9,26.2,6.89,89.7,83.8,38.0,0,0,0,0.152
238,100001,69.7,4.4,20.7,7.04,94.1,96.9,7.5,0,1,0,0.558
239,100001,75.7,11.8,41.1,6.9,98.0,79.5,8.0,0,0,0,0.302
240,100001,78.5,14.7,14.3,6.71,87.4,93.4,24.6,0,0,1,0.519
241,100001,76.2,14.3,23.0,7.34,94.1,87.0,25.6,0,0,1,0.271
242,100001,74.9,16.4,23.1,7.34,91.5,85.9,11.8,0,0,1,0.455
243,100001,74.0,7.7,26.8,7.86,92.2,105.3,12.0,0,1,1,0.788
244,100001,71.2,13.6,18.9,7.03,90.3,78.1,28.9,0,0,1,0.141
245,100001,74.1,15.7,25.9,7.36,92.9,84.9,40.3,0,0,0,0.084
246,100001,79.1,18.1,21.3,7.37,99.9,92.5,27.8,0,0,1,0.382
247,100001,73.9,8.4,7.9,7.17,89.1,83.6,8.9,0,0,1,0.393
248,100001,71.0,11.1,23.0,7.52,89.4,82.2,10.4,0,0,1,0.358
249,100001,72.5,-3.0,12.5,7.53,88.9,68.1,4.2,0,0,0,0.054
250,100001,75.1,9.5,6.5,7.38,99.5,75.3,8.0,0,0,0,0.123
251,100001,72.9,10.0,24.2,7.17,91.9,99.6,12.5,0,1,1,0.715
252,100001,76.2,7.1,27.6,7.14,93.4,93.9,-6.7,0,0,0,0.234
253,100001,76.3,14.2,27.9,6.78,92.1,97.1,31.0,0,1,1,0.385
254,100001,77.7,12.9,28.3,6.98,90.2,91.8,-2.0,0,0,0,0.37
255,100001,79.8,-0.4,4.6,7.04,92.7,78.0,-6.0,0,0,0,0.143
256,100001,78.1,14.5,10.0,6.87,102.1,101.7,15.8,0,1,1,0.805
257,100001,70.8,7.6,41.7,7.41,98.4,96.2,33.5,0,1,0,0.289
258,100001,70.9,16.1,13.0,7.68,90.5,77.1,10.6,0,0,1,0.32
259,100001,74.1,5.5,28.7,6.94,95.8,102.1,-3.2,0,1,0,0.425
260,100001,72.6,13.4,16.4,7.36,90.6,77.9,6.2,0,0,0,0.282
261,100001,70.0,11.5,23.7,6.9,87.3,80.1,33.1,0,0,0,0.112
262,100001,72.7,15.0,16.9,7.15,97.1,85.9,-21.5,0,0,0,0.051
263,100001,72.6,13.9,28.3,7.02,97.6,91.8,0.9,0,0,0,0.359
264,100001,71.8,11.7,24.2,7.47,97.2,91.3,47.2,0,0,0,0.067
265,100001,73.2,4.0,18.7,7.02,91.9,103.7,11.7,0,1,1,0.763
266,100001,78.8,4.3,13.0,7.61,92.9,90.2,-10.0,0,0,0,0.145
267,100001,75.1,9.7,25.5,7.17,96.1,71.7,9.1,0,0,1,0.172
268,100001,83.8,13.1,11.4,7.03,94.9,93.5,14.0,0,0,1,0.675
269,100001,75.0,9.5,27.0,6.82,92.1,92.1,20.5,0,0,1,0.478
270,100001,73.3,16.9,47.9,7.35,87.8,100.9,40.9,1,1,0,0.201
271,100001,74.4,11.5,35.8,7.57,93.9,98.4,16.6,0,1,1,0.697
272,100001,75.3,7.4,29.8,7.36,97.3,94.4,0.4,0,0,0,0.432
273,100001,76.0,11.5,22.1,8.04,89.3,88.8,21.8,0,0,1,0.511
274,100001,82.3,14.5,4.5,7.76,95.7,91.3,5.5,0,0,0,0.501
275,100001,71.2,15.1,10.4,7.15,94.7,76.0,1.7,0,0,0,0.137
276,100001,77.6,24.5,35.1,7.15,96.1,90.9,1.6,0,0,0,0.398
277,100001,75.2,9.2,15.4,7.42,96.6,112.5,-11.2,0,1,0,0.122
278,100001,68.4,12.8,16.3,6.97,91.1,74.8,1.1,0,0,0,0.101
279,100001,77.3,15.7,21.4,7.67,87.8,90.3,0.4,0,0,0,0.327
280,100001,79.2,13.1,12.8,7.39,91.6,74.6,17.1,0,0,1,0.226
281,100001,71.1,10.2,11.3,7.35,96.6,82.5,-5.4,0,0,0,0.042
282,100001,74.3,3.9,22.5,7.5,91.6,80.8,-37.0,0,0,0,0.063
284,100001,69.6,6.8,15.9,7.32,87.1,89.5,0.6,0,0,0,0.302
285,100001,78.3,2.8,15.5,7.22,99.6,93.9,-5.0,0,0,0,0.193
286,100001,72.6,8.4,27.9,7.79,96.4,96.2,28.2,0,1,1,0.477
287,100001,70.1,6.9,20.7,7.6,96.2,70.7,-1.1,0,0,0,0.014
288,100001,75.2,16.7,21.2,7.15,96.9,105.6,28.1,1,1,1,0.629
289,100001,72.4,16.8,28.6,7.26,95.5,81.3,16.6,0,0,1,0.303
290,100001,72.6,7.8,21.6,7.33,92.6,100.2,7.2,0,1,0,0.695
291,100001,77.2,11.6,20.3,7.39,92.9,98.7,0.8,0,1,0,0.398
292,100001,69.9,2.0,27.4,6.79,92.0,93.1,1.3,0,0,0,0.352
293,100001,70.9,10.2,29.3,6.72,102.7,85.1,0.3,0,0,0,0.238
294,100001,74.9,15.6,21.5,6.95,95.4,90.9,17.8,0,0,1,0.561
295,100001,78.0,18.1,23.7,6.92,91.9,88.2,15.1,0,0,1,0.47
296,100001,79.1,8.9,15.5,7.04,95.1,89.6,-3.4,0,0,0,0.242
297,100001,71.8,19.5,14.8,7.48,90.0,80.3,32.4,0,0,0,0.146
298,100001,77.9,4.1,30.2,7.2,98.8,79.9,9.6,0,0,1,0.268
299,100001,71.4,5.7,27.2,7.33,91.2,98.4,-0.1,0,1,0,0.433
300,100001,81.3,17.5,27.3,6.83,95.3,96.6,19.3,0,1,1,0.629
301,100001,70.1,23.2,25.6,7.1,97.2,84.4,22.1,0,0,1,0.364
302,100001,79.4,16.2,23.4,7.47,94.8,89.0,4.9,0,0,0,0.401
303,100001,71.9,13.0,29.5,7.47,93.8,94.2,13.9,0,0,1,0.644
304,100001,82.0,0.0,31.8,7.01,93.5,92.3,-8.1,0,0,0,0.181
305,100001,76.6,1.1,31.6,7.32,93.3,76.5,-11.2,0,0,0,0.076
306,100001,70.5,14.0,22.0,8.03,91.5,89.0,-7.1,0,0,0,0.12
307,100001,72.4,11.0,36.1,7.25,91.9,99.0,6.4,0,1,0,0.539
308,100001,77.3,6.6,25.1,7.02,98.7,92.3,13.9,0,0,1,0.607
309,100001,78.4,13.6,28.9,7.2,93.1,85.8,4.6,0,0,0,0.327
310,100001,74.1,13.9,25.6,7.29,90.7,90.8,46.7,0,0,0,0.0
311,100001,74.5,18.9,25.3,7.21,91.7,77.9,30.4,0,0,1,0.146
312,100001,77.2,14.0,15.9,7.25,97.4,80.0,31.0,0,0,1,0.197
313,100001,74.9,20.6,29.6,6.76,95.9,87.5,30.9,0,0,1,0.243
314,100001,69.4,13.2,50.0,6.92,95.5,107.7,37.3,1,1,0,0.303
315,100001,71.3,12.5,19.4,7.21,92.6,81.9,2.3,0,0,0,0.181
316,100001,75.3,19.6,23.6,7.2,95.5,87.1,-13.7,0,0,0,0.085
317,100001,79.0,7.3,18.7,7.06,91.2,106.7,1.5,0,1,0,0.58
318,100001,80.5,30.1,18.3,7.2,92.6,94.4,37.3,0,0,0,0.152
319,100001,77.3,15.4,37.6,7.28,96.9,103.1,17.4,1,1,1,0.792
320,100001,75.5,15.5,16.5,7.57,96.6,84.4,19.1,0,0,1,0.415
321,100001,77.2,16.3,18.4,7.23,90.1,83.3,33.5,0,0,0,0.161
322,100001,71.8,24.5,7.9,7.4,90.5,60.3,29.4,0,0,1,0.148
324,100001,71.2,3.6,6.7,7.46,99.5,83.7,-8.7,0,0,0,0.13
325,100001,69.6,21.6,28.9,7.39,86.8,86.0,7.4,0,0,0,0.365
326,100001,75.6,11.1,49.5,7.56,94.5,103.5,32.1,1,1,0,0.369
